date,title,amount
2026-07-23,Petlove Saud*Petlove S,"114,02"
2026-07-14,Estorno de pagamento (Reembolso Pix de Dex Rodrigues de Paula),"- 150,00"
2026-07-10,EBW*Spotify - NuPay,"40,90"
2026-07-09,Pagamento recebido,"- 1.727,59"
2026-07-09,IOF por fatura atrasada,"7,01"
2026-07-09,Multa por fatura atrasada,"34,68"
2026-07-09,Juros por fatura atrasada,"26,69"
2026-07-06,Valor pendente do mês anterior,"1.727,58"
2026-07-06,Pix no Crédito - Dex Rodrigues de Paula,"155,96"
2026-07-03,"Crédito de ""MERCADOLIVRE*MERCADOL"" (Mercado Livre)","- 70,99"
2026-06-29,49782298glauciane - Parcela 4/10,"252,55"
